flight_id,airline,origin,destination,departure_time,scheduled_arrival,actual_arrival,flight_duration_minutes,status,delay_minutes,cancellation_reason,passenger_count,fuel_consumption_kg
EK5613,United,ATL,DFW,2025-05-02 23:19:15.117896,2025-05-03 04:31:15.117896,2025-05-03 04:46:15.117896,312,on_time,0,,61,23893
AA3384,Latam,JFK,LAX,2025-05-01 02:02:53.277913,2025-05-01 04:47:53.277913,2025-05-01 04:53:53.277913,165,on_time,0,,188,18137
LH2587,Emirates,ORD,DFW,2025-05-02 17:32:23.719300,2025-05-02 21:33:23.719300,2025-05-02 21:38:23.719300,241,on_time,0,,215,17034
EK7361,United,ATL,DFW,2025-05-06 22:08:39.998880,2025-05-07 05:55:39.998880,2025-05-07 05:51:39.998880,467,on_time,0,,192,13164
LH4277,Lufthansa,ORD,LHR,2025-05-05 12:58:20.135964,2025-05-05 18:39:20.135964,2025-05-05 18:39:20.135964,341,overbooked,0,,263,17591
LA1976,Lufthansa,CDG,DFW,2025-05-05 18:29:28.664264,2025-05-05 23:39:28.664264,2025-05-05 23:49:28.664264,310,on_time,0,,209,28571
EK6723,Delta,DFW,GRU,2025-05-05 10:26:51.240213,2025-05-05 22:24:51.240213,2025-05-05 22:31:51.240213,718,on_time,0,,213,27654
DL3142,Latam,CDG,LAX,2025-05-06 20:54:32.333448,2025-05-07 02:19:32.333448,2025-05-07 02:31:32.333448,325,on_time,0,,90,9531
AA1366,Latam,SFO,LHR,2025-05-07 16:17:28.717278,2025-05-08 03:28:28.717278,2025-05-08 03:34:28.717278,671,on_time,0,,94,6776
EK4471,Delta,GRU,ORD,2025-05-01 08:39:06.690445,2025-05-01 10:55:06.690445,2025-05-01 10:58:06.690445,136,on_time,0,,198,5123
LH9972,Latam,GRU,DFW,2025-05-06 07:19:40.096988,2025-05-06 14:50:40.096988,2025-05-06 15:05:40.096988,451,on_time,0,,209,24638
