flight_id,airline,origin,destination,aircraft,departure_time,scheduled_arrival,actual_arrival,flight_duration,status,delay_minutes,cancellation_reason,passengers,fuel_consumption
UA2824,LATAM,CGH,GIG,A320,2025-05-05 07:41:15.720604,2025-05-05 09:22:15.720604,2025-05-05 09:34:15.720604,101,on_time,0,,158,6041
LA2535,GOL,CNF,JFK,E190,2025-05-01 08:55:36.616437,2025-05-01 09:38:36.616437,2025-05-01 09:53:36.616437,43,on_time,0,,157,12223
DL5557,LATAM,BSB,LAX,A350,2025-04-16 13:58:40.878212,2025-04-16 17:22:40.878212,2025-04-16 17:23:40.878212,204,on_time,0,,136,8349
LA7224,LATAM,JFK,MIA,B787,2025-04-18 07:32:46.333873,2025-04-18 13:11:46.333873,2025-04-18 13:07:46.333873,339,on_time,0,,187,9090
DL2291,American,CGH,MIA,E190,2025-04-26 03:54:46.624531,2025-04-26 11:45:46.624531,2025-04-26 11:46:46.624531,471,on_time,0,,61,26668
G35741,LATAM,CNF,MIA,B737,2025-04-18 05:38:46.703532,2025-04-18 09:22:46.703532,2025-04-18 09:37:46.703532,224,on_time,0,,91,17130
AD4432,United,CGH,LAX,B737,2025-04-25 14:15:08.208146,2025-04-25 19:56:08.208146,2025-04-25 20:08:08.208146,341,on_time,0,,91,20147
DL5422,United,CNF,LAX,B787,2025-04-08 19:04:18.633864,2025-04-09 02:45:18.633864,2025-04-09 02:41:18.633864,461,on_time,0,,58,15336
DL5386,LATAM,CNF,JFK,B787,2025-04-16 06:41:33.697420,2025-04-16 08:59:33.697420,2025-04-16 09:06:33.697420,138,on_time,0,,214,20035
G35339,GOL,CNF,LAX,E190,2025-04-29 15:51:26.995953,2025-04-29 20:56:26.995953,2025-04-29 21:09:26.995953,305,on_time,0,,199,18087
AD4593,GOL,MIA,GRU,B737,2025-04-17 07:20:32.143404,2025-04-17 15:10:32.143404,,470,canceled,0,air_traffic,0,0
DL7252,American,MIA,CGH,B787,2025-04-25 05:09:46.251381,2025-04-25 10:22:46.251381,2025-04-25 10:17:46.251381,313,on_time,0,,79,27338
AA5371,United,JFK,GRU,B787,2025-05-02 16:59:30.778301,2025-05-02 21:11:30.778301,2025-05-02 23:40:30.778301,252,delayed,149,,245,10854
AA2743,United,CGH,MIA,E190,2025-04-14 02:34:51.800771,2025-04-14 08:15:51.800771,2025-04-14 12:00:51.800771,341,diverted,0,,294,22378
